disimage,2,4,16,18,19,20,24,28,42,47
PH,3.064005,3.510722,2.656893,3.060255,2.685823,2.713613,3.179243,3.028993,3.267961,2.914408
PA,2.604765,3.122173,2.410282,2.621008,2.143037,2.888691,2.660649,2.934241,2.947299,2.74674
PL,2.279171,2.277972,2.713452,2.205271,2.838817,2.351392,2.266387,2.080908,2.752001,2.494838
BH,3.040164,3.207952,3.07973,3.195601,2.707644,3.481927,3.024325,2.973079,3.036964,3.324417
BA,2.724769,3.197344,3.048291,2.767173,2.542678,3.342119,3.127473,2.983487,3.014906,3.435789
BL,2.698941,2.310375,2.579374,2.369284,2.35679,2.346995,2.7849,2.616272,2.374752,2.906832
MBH,3.222971,3.412321,3.7037,3.47348,3.630954,3.58388,3.759071,3.344083,3.338589,3.655136
MBA,3.230992,2.837299,3.309425,3.194503,3.231298,3.461507,3.413729,3.094651,2.805097,3.109906
MBL,2.725198,2.403978,2.839601,2.546055,2.877355,3.174501,2.693975,2.408588,2.619762,2.633921
GBH,3.609854,3.72764,4.030815,3.928874,4.1245,3.859848,3.866457,3.684177,3.637643,3.8198
GBA,3.567995,3.640115,3.855881,3.732267,3.941079,3.978577,3.934543,3.770718,3.344887,3.791806
GBL,3.043133,3.179395,3.751104,3.542293,3.57209,3.840593,3.4185,3.498142,2.637938,3.340112
GNH,2.915241,3.378876,2.451023,2.786899,3.027115,2.921281,2.716003,3.029167,2.728581,2.76812
GNA,2.642713,2.775535,2.761267,2.573912,2.545058,2.482866,2.571679,2.973406,2.821001,2.081076
GNL,2.513196,2.419226,2.159731,2.297515,2.60202,2.521988,2.40812,2.676056,2.446952,2.199092
SPH,2.712092,3.025861,2.563321,2.759917,2.719528,2.587534,2.916249,3.057129,2.489038,2.583042
SPA,2.710027,2.866218,2.63831,2.586725,2.49077,2.001102,2.623285,2.585869,2.515136,2.553432
SPL,2.566189,1.900292,2.038355,2.191492,2.319938,1.951608,2.246856,2.35412,2.729538,2.076198
PN,2.40344,1.68865,2.042777,2.310752,2.0422,1.676645,1.512739,1.655062,2.606539,2.133962
OR,3.473684,4.125,3.866667,3.684211,4,4.3,4.705882,3.733333,3.6875,4.117647